               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070765,            0.031647,            0.032232,             0.18547,             0.12792,            0.093206,            0.038735,            0.040861,            0.015275,            0.021285,           0.0033105,           0.0033105,            0.070205
                   1,            0.057627,            0.027454,            0.028129,             0.83301,             0.16667,             0.11649,             0.03254,            0.039826,            0.012661,             0.01724,           0.0064246,           0.0064246,            0.039986
                   2,            0.055799,            0.025606,            0.024771,            0.095045,             0.42992,            0.085023,            0.024371,            0.042888,             0.01266,            0.018132,           0.0093187,           0.0093187,            0.009547
                   3,            0.053133,            0.024809,            0.022084,             0.31269,             0.37463,             0.28275,             0.12561,            0.037591,            0.011933,            0.014425,             0.00901,             0.00901,             0.00901
                   4,            0.050658,            0.024619,            0.021095,             0.43598,              0.5583,             0.43206,             0.15803,            0.027447,            0.010724,            0.012706,             0.00901,             0.00901,             0.00901
                   5,            0.047367,            0.024251,            0.018375,             0.28417,             0.47727,               0.373,             0.16041,            0.035227,             0.01138,           0.0097029,             0.00868,             0.00868,             0.00868
                   6,            0.045392,            0.024681,            0.017336,             0.49218,             0.51245,             0.51931,             0.18744,            0.031633,            0.011424,           0.0081588,             0.00835,             0.00835,             0.00835
                   7,            0.043581,            0.023567,            0.016057,             0.42436,             0.21407,             0.26981,             0.13316,            0.037222,             0.01259,            0.010985,             0.00802,             0.00802,             0.00802
                   8,            0.041913,            0.023098,            0.015701,             0.36563,             0.43561,             0.45338,             0.13121,            0.034119,            0.012228,           0.0099167,             0.00769,             0.00769,             0.00769
                   9,             0.04287,            0.024039,            0.015845,             0.65948,             0.42462,             0.55293,             0.27969,            0.030953,            0.011529,           0.0077542,             0.00736,             0.00736,             0.00736
                  10,            0.041838,            0.023079,            0.014543,             0.46997,             0.69697,             0.53036,             0.25458,            0.029386,            0.010777,           0.0098376,             0.00703,             0.00703,             0.00703
                  11,            0.039567,            0.023439,            0.013375,             0.43669,             0.72917,             0.58801,             0.25956,            0.027278,             0.01057,           0.0066299,              0.0067,              0.0067,              0.0067
                  12,             0.03865,            0.022031,            0.015146,             0.55559,             0.52083,             0.53966,              0.2585,            0.026138,             0.01082,           0.0061154,             0.00637,             0.00637,             0.00637
                  13,            0.039542,            0.022181,            0.012718,             0.52637,             0.47664,             0.52056,             0.19417,            0.028325,            0.011862,             0.00767,             0.00604,             0.00604,             0.00604
                  14,            0.038584,             0.02253,            0.012779,             0.63955,              0.6772,             0.60614,             0.27313,            0.026223,            0.011024,           0.0095156,             0.00571,             0.00571,             0.00571
                  15,            0.037039,            0.022108,            0.010218,             0.63383,             0.72917,             0.63781,             0.23981,            0.029288,             0.01042,            0.010366,             0.00538,             0.00538,             0.00538
                  16,            0.036001,             0.02151,            0.011016,             0.72347,             0.57002,             0.59885,             0.28125,            0.028692,            0.010328,           0.0059027,             0.00505,             0.00505,             0.00505
                  17,            0.036292,            0.021454,            0.010514,              0.7154,             0.46023,             0.55112,             0.26597,            0.029066,            0.010284,           0.0073035,             0.00472,             0.00472,             0.00472
                  18,             0.03474,            0.020509,           0.0097303,              0.5153,             0.60736,             0.59712,             0.31545,            0.028671,           0.0097365,           0.0066302,             0.00439,             0.00439,             0.00439
                  19,            0.032907,            0.020397,           0.0088007,             0.66023,             0.61259,             0.65128,             0.30829,            0.027332,            0.010727,           0.0060827,             0.00406,             0.00406,             0.00406
                  20,            0.032642,            0.019525,           0.0096273,             0.61182,             0.64569,             0.62025,             0.26312,            0.028974,            0.010091,           0.0049091,             0.00373,             0.00373,             0.00373
                  21,            0.032649,            0.019803,           0.0081626,             0.71074,             0.55367,             0.60116,             0.29078,              0.0246,            0.010085,           0.0080228,              0.0034,              0.0034,              0.0034
                  22,            0.031111,            0.018425,           0.0070604,             0.60064,             0.62121,             0.60922,             0.28429,            0.025811,           0.0092668,           0.0079972,             0.00307,             0.00307,             0.00307
                  23,            0.031112,            0.018521,           0.0072041,             0.57735,             0.68731,              0.6047,             0.27467,            0.028941,            0.012253,            0.016498,             0.00274,             0.00274,             0.00274
                  24,            0.029231,            0.018697,           0.0075799,             0.72455,             0.64583,             0.68094,              0.3084,            0.025782,            0.010579,           0.0072225,             0.00241,             0.00241,             0.00241
                  25,            0.027921,            0.017565,           0.0068379,             0.69826,             0.62103,             0.66003,             0.32459,            0.024927,            0.012316,           0.0084057,             0.00208,             0.00208,             0.00208
                  26,             0.02823,            0.017854,           0.0068419,             0.60385,             0.59591,             0.61777,              0.2869,            0.023615,            0.012029,           0.0083509,             0.00175,             0.00175,             0.00175
                  27,            0.028589,            0.017696,            0.007103,             0.57525,             0.72583,             0.65166,             0.30866,            0.026653,            0.011086,           0.0060089,             0.00142,             0.00142,             0.00142
                  28,            0.027647,            0.016969,           0.0070633,             0.64238,             0.68052,             0.68248,             0.34602,              0.0261,            0.011396,           0.0054215,             0.00109,             0.00109,             0.00109
                  29,            0.026056,            0.016786,           0.0060797,             0.66096,             0.60038,             0.66729,             0.29276,            0.025984,            0.011499,           0.0056911,             0.00076,             0.00076,             0.00076
