               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080699,            0.030436,            0.034534,             0.11863,                0.25,              0.1714,            0.056059,            0.041792,            0.013819,            0.023056,           0.0033105,           0.0033105,            0.070205
                   1,             0.05707,            0.027702,            0.028697,             0.18099,             0.47727,             0.27042,            0.089497,            0.039315,            0.013777,            0.021152,           0.0064246,           0.0064246,            0.039986
                   2,            0.055314,            0.025516,            0.025883,             0.21705,             0.36364,             0.21249,            0.069768,            0.031881,            0.012084,            0.015912,           0.0093187,           0.0093187,            0.009547
                   3,             0.05401,            0.026289,            0.022528,              0.1946,             0.71023,             0.31746,             0.14413,            0.036184,            0.010902,            0.013893,             0.00901,             0.00901,             0.00901
                   4,            0.051075,            0.025375,            0.021021,             0.67499,             0.57135,             0.48209,             0.16948,            0.030446,            0.010892,             0.01132,             0.00901,             0.00901,             0.00901
                   5,              0.0483,            0.024473,            0.019172,             0.26491,              0.5303,             0.32084,             0.11601,            0.032261,            0.012634,            0.010272,             0.00868,             0.00868,             0.00868
                   6,            0.045828,            0.023841,            0.016948,             0.76501,             0.23863,             0.33402,             0.15436,             0.03304,            0.011216,            0.011309,             0.00835,             0.00835,             0.00835
                   7,            0.045131,            0.024169,            0.016264,             0.40713,             0.38912,             0.39254,             0.16337,            0.038346,            0.011314,            0.011067,             0.00802,             0.00802,             0.00802
                   8,            0.045267,            0.023843,            0.016856,             0.58852,             0.48864,             0.55677,             0.27715,            0.027027,            0.010926,            0.015195,             0.00769,             0.00769,             0.00769
                   9,             0.04409,            0.023906,            0.016347,             0.51203,             0.56678,             0.53368,             0.24132,            0.025166,            0.010727,           0.0067019,             0.00736,             0.00736,             0.00736
                  10,            0.042973,             0.02366,            0.014699,             0.56642,             0.42614,             0.51272,             0.25161,            0.026634,            0.010258,            0.016802,             0.00703,             0.00703,             0.00703
                  11,            0.040748,             0.02308,            0.013791,              0.4448,             0.60504,               0.467,             0.19029,            0.027535,            0.010551,            0.011022,              0.0067,              0.0067,              0.0067
                  12,            0.041552,             0.02275,            0.013524,             0.59035,             0.56398,             0.52894,             0.23761,            0.030211,            0.010717,           0.0069924,             0.00637,             0.00637,             0.00637
                  13,            0.038695,            0.022804,            0.012072,             0.61194,             0.56737,             0.55357,             0.24839,            0.026318,           0.0099449,           0.0068713,             0.00604,             0.00604,             0.00604
                  14,            0.038031,            0.022188,            0.012547,             0.74691,              0.6016,             0.65273,             0.27779,            0.026378,            0.009837,           0.0079647,             0.00571,             0.00571,             0.00571
                  15,            0.037508,            0.022112,            0.010142,             0.55112,             0.67006,             0.59149,             0.24673,            0.027013,            0.010641,            0.011556,             0.00538,             0.00538,             0.00538
                  16,             0.03598,            0.021722,            0.010592,             0.55727,              0.6718,             0.57345,             0.28664,            0.026479,            0.010578,           0.0072087,             0.00505,             0.00505,             0.00505
                  17,            0.035454,            0.021098,           0.0095567,             0.57998,             0.51661,             0.54115,             0.26095,            0.031456,            0.010569,           0.0058159,             0.00472,             0.00472,             0.00472
                  18,            0.034608,            0.019854,            0.010516,             0.55448,             0.68335,             0.63011,             0.27853,            0.029507,            0.011098,            0.012191,             0.00439,             0.00439,             0.00439
                  19,            0.034221,            0.020446,           0.0098105,              0.5126,             0.71161,             0.55217,             0.25511,            0.028067,            0.010465,            0.007404,             0.00406,             0.00406,             0.00406
                  20,            0.035469,            0.020273,           0.0098056,             0.57296,             0.77022,             0.65316,             0.28138,            0.027337,            0.010152,           0.0065705,             0.00373,             0.00373,             0.00373
                  21,            0.033169,            0.020123,           0.0091654,             0.57078,             0.69343,             0.63561,             0.25325,            0.025468,            0.010047,            0.010274,              0.0034,              0.0034,              0.0034
                  22,            0.031973,            0.019574,           0.0092753,              0.5394,             0.64728,             0.58885,             0.23598,            0.025636,            0.010297,           0.0087301,             0.00307,             0.00307,             0.00307
                  23,             0.03107,            0.019139,           0.0084593,             0.49361,             0.73643,             0.62454,             0.22418,            0.030732,            0.010513,           0.0065118,             0.00274,             0.00274,             0.00274
                  24,            0.031484,            0.018866,           0.0071244,             0.64359,             0.57386,             0.64159,             0.28627,            0.027399,            0.010827,            0.011987,             0.00241,             0.00241,             0.00241
                  25,            0.030386,            0.018538,           0.0075107,             0.62441,             0.74432,             0.66524,             0.35526,            0.026817,            0.010551,           0.0096043,             0.00208,             0.00208,             0.00208
                  26,            0.028961,            0.018569,           0.0065245,             0.73466,             0.67803,             0.71066,             0.35375,            0.027696,              0.0109,           0.0072154,             0.00175,             0.00175,             0.00175
                  27,            0.028841,            0.017666,           0.0074226,             0.71201,             0.70821,             0.70386,             0.35823,             0.02821,            0.010768,           0.0074189,             0.00142,             0.00142,             0.00142
                  28,            0.027734,            0.017721,           0.0065638,             0.65342,             0.65886,             0.68617,             0.30283,             0.02777,            0.010945,           0.0074924,             0.00109,             0.00109,             0.00109
                  29,            0.026709,            0.017537,           0.0069764,             0.62895,             0.82576,             0.72601,              0.3402,            0.027904,            0.010734,           0.0087174,             0.00076,             0.00076,             0.00076
