               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087076,             0.02822,            0.036977,             0.01358,             0.28788,           0.0074731,           0.0018279,            0.045044,            0.013944,            0.022287,           0.0033105,           0.0033105,            0.070205
                   1,            0.064245,            0.029935,            0.029793,             0.33171,             0.23295,             0.12424,            0.015114,            0.042041,            0.014271,             0.01941,           0.0064246,           0.0064246,            0.039986
                   2,            0.060051,            0.028815,            0.028205,             0.61321,             0.10417,             0.12453,            0.046768,            0.039061,            0.011616,            0.019046,           0.0093187,           0.0093187,            0.009547
                   3,            0.058452,            0.027981,            0.027576,             0.18658,             0.43561,             0.23854,            0.065008,            0.035171,            0.011476,            0.018068,             0.00901,             0.00901,             0.00901
                   4,            0.053936,            0.026894,            0.026826,              0.2105,             0.44925,             0.22799,             0.10727,            0.035198,            0.010737,             0.01656,             0.00901,             0.00901,             0.00901
                   5,            0.050963,            0.025083,            0.023815,              0.2238,             0.39962,             0.20052,             0.10057,            0.036419,            0.011939,            0.020442,             0.00868,             0.00868,             0.00868
                   6,            0.051565,            0.026144,            0.023503,             0.81502,             0.39027,             0.47931,             0.19484,            0.029771,            0.011342,            0.011012,             0.00835,             0.00835,             0.00835
                   7,            0.049386,            0.025231,            0.020079,             0.39793,             0.48385,              0.3119,             0.10026,            0.037037,            0.013193,            0.017738,             0.00802,             0.00802,             0.00802
                   8,            0.048592,            0.025161,            0.019642,             0.43337,             0.34779,             0.35437,             0.11373,            0.032248,            0.010768,            0.015774,             0.00769,             0.00769,             0.00769
                   9,            0.048226,            0.024733,            0.018076,             0.77933,             0.37478,             0.48045,             0.19866,            0.031966,            0.011718,            0.014072,             0.00736,             0.00736,             0.00736
                  10,            0.045275,            0.024458,            0.017183,             0.65424,             0.43148,             0.39578,             0.23039,            0.036765,            0.011762,            0.010239,             0.00703,             0.00703,             0.00703
                  11,            0.045765,            0.024323,            0.016774,             0.59226,             0.39962,             0.39955,             0.15064,            0.029281,            0.011462,              0.0131,              0.0067,              0.0067,              0.0067
                  12,             0.04566,            0.024759,            0.016932,             0.45112,             0.48295,             0.51748,             0.23408,            0.037278,            0.011542,           0.0093562,             0.00637,             0.00637,             0.00637
                  13,             0.04391,            0.023945,            0.016727,              0.5397,             0.42974,             0.50059,             0.23018,            0.025792,            0.010793,            0.013086,             0.00604,             0.00604,             0.00604
                  14,            0.043772,            0.023407,            0.014478,              0.5584,             0.52794,             0.51471,             0.22232,            0.031303,            0.011059,            0.011937,             0.00571,             0.00571,             0.00571
                  15,            0.042962,            0.024292,            0.014271,             0.47855,             0.31593,             0.39813,             0.19435,            0.042129,            0.011114,             0.01034,             0.00538,             0.00538,             0.00538
                  16,            0.042807,            0.024679,            0.014749,             0.51971,              0.4678,             0.47472,             0.11013,            0.035532,            0.012581,            0.011168,             0.00505,             0.00505,             0.00505
                  17,            0.042938,            0.023419,            0.014922,             0.50908,               0.524,             0.51781,             0.15746,            0.031047,            0.010896,           0.0080897,             0.00472,             0.00472,             0.00472
                  18,            0.040929,            0.023534,              0.0128,             0.50886,             0.61273,             0.57921,             0.22859,            0.029505,            0.010625,           0.0078323,             0.00439,             0.00439,             0.00439
                  19,            0.040933,            0.023939,             0.01337,               0.468,             0.59407,             0.46093,             0.15027,            0.026563,            0.010661,            0.013253,             0.00406,             0.00406,             0.00406
                  20,            0.038897,             0.02358,            0.011479,             0.55166,             0.53409,             0.54347,             0.20042,            0.026505,            0.010804,           0.0057949,             0.00373,             0.00373,             0.00373
                  21,            0.039887,            0.023133,            0.011887,             0.52727,             0.73336,              0.6056,             0.24403,            0.026878,            0.010364,            0.013498,              0.0034,              0.0034,              0.0034
                  22,            0.038746,            0.022735,            0.011742,             0.50975,             0.65811,               0.539,             0.20352,            0.027545,            0.010715,            0.008964,             0.00307,             0.00307,             0.00307
                  23,            0.038365,             0.02259,            0.011444,             0.52658,             0.60222,             0.52223,             0.21498,            0.027153,             0.01035,           0.0077777,             0.00274,             0.00274,             0.00274
                  24,            0.037559,            0.022485,            0.011033,             0.47944,             0.69886,             0.53234,             0.22357,            0.025071,            0.010421,            0.021126,             0.00241,             0.00241,             0.00241
                  25,            0.036375,            0.022358,            0.010507,             0.50558,             0.67167,             0.54864,             0.23192,            0.028034,              0.0105,            0.019184,             0.00208,             0.00208,             0.00208
                  26,            0.035977,            0.022559,            0.010168,             0.34088,             0.55303,             0.45317,             0.20905,            0.035481,            0.011166,            0.017922,             0.00175,             0.00175,             0.00175
                  27,            0.036029,            0.021936,            0.010577,              0.6619,             0.67595,             0.68519,             0.26299,            0.029196,              0.0108,           0.0057812,             0.00142,             0.00142,             0.00142
                  28,            0.034974,             0.02171,            0.010216,             0.53986,             0.68371,             0.60537,             0.26831,            0.025663,            0.010657,           0.0074567,             0.00109,             0.00109,             0.00109
                  29,            0.035009,            0.022193,           0.0095299,             0.63183,             0.66678,             0.64289,             0.27001,            0.026448,            0.010134,            0.007897,             0.00076,             0.00076,             0.00076
