               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074806,            0.030749,            0.032782,             0.45291,             0.11932,             0.15526,            0.030752,            0.039051,            0.013756,            0.021888,           0.0033105,           0.0033105,            0.070205
                   1,            0.057852,            0.026818,            0.028141,               0.242,             0.60411,             0.33684,            0.098026,             0.03544,            0.011058,             0.01927,           0.0064246,           0.0064246,            0.039986
                   2,            0.056004,             0.02468,            0.024087,             0.52457,              0.5625,             0.46286,             0.16099,            0.035137,            0.011257,            0.015906,           0.0093187,           0.0093187,            0.009547
                   3,             0.05207,            0.024967,            0.020968,             0.49306,             0.48106,             0.46794,             0.22061,            0.027624,            0.010718,            0.011533,             0.00901,             0.00901,             0.00901
                   4,            0.048149,            0.025008,            0.019862,              0.3968,             0.39394,             0.35107,             0.12885,            0.032013,            0.011394,            0.015063,             0.00901,             0.00901,             0.00901
                   5,            0.047579,            0.024517,             0.01886,              0.8402,             0.35415,             0.44281,             0.20159,            0.028986,            0.010418,           0.0084724,             0.00868,             0.00868,             0.00868
                   6,            0.046022,            0.024688,             0.01854,             0.48583,             0.55293,             0.51756,             0.24066,             0.03202,            0.011287,           0.0099606,             0.00835,             0.00835,             0.00835
                   7,            0.044297,            0.023849,            0.018085,             0.59133,             0.49432,             0.46106,             0.19061,            0.029211,            0.010852,            0.013369,             0.00802,             0.00802,             0.00802
                   8,            0.043372,            0.024038,            0.016113,             0.49317,              0.6053,             0.51812,             0.25543,            0.031711,            0.010598,           0.0088803,             0.00769,             0.00769,             0.00769
                   9,            0.042005,            0.023532,             0.01523,             0.51415,             0.48065,             0.39008,              0.1741,            0.034295,            0.010731,            0.012641,             0.00736,             0.00736,             0.00736
                  10,            0.041543,            0.023346,             0.01421,             0.52878,             0.60718,             0.57493,             0.20741,            0.032686,            0.010916,            0.009719,             0.00703,             0.00703,             0.00703
                  11,            0.039111,            0.022907,            0.013609,             0.61927,              0.6201,             0.60658,             0.21578,            0.027712,            0.010651,           0.0086939,              0.0067,              0.0067,              0.0067
                  12,            0.039727,            0.021725,            0.013184,             0.47813,             0.38826,             0.40104,             0.21134,            0.035509,             0.01165,            0.012006,             0.00637,             0.00637,             0.00637
                  13,            0.039249,            0.022028,            0.012263,             0.37973,             0.72497,             0.45861,             0.20622,            0.029555,            0.010507,             0.01144,             0.00604,             0.00604,             0.00604
                  14,             0.03884,            0.021477,            0.012384,             0.61712,             0.57535,             0.58419,              0.2722,            0.027308,            0.010484,           0.0087086,             0.00571,             0.00571,             0.00571
                  15,            0.036474,            0.022052,            0.010689,             0.51894,             0.65189,             0.60851,             0.30626,            0.024905,             0.01047,           0.0074369,             0.00538,             0.00538,             0.00538
                  16,             0.03723,            0.021617,            0.010483,             0.60229,             0.71632,             0.63573,             0.29677,            0.023329,            0.010463,           0.0059828,             0.00505,             0.00505,             0.00505
                  17,             0.03535,            0.021212,            0.010536,             0.57726,             0.69892,             0.65972,             0.30297,             0.02711,            0.010454,            0.005231,             0.00472,             0.00472,             0.00472
                  18,            0.034774,            0.020234,           0.0092164,             0.71829,             0.72583,             0.72182,             0.28734,            0.028309,           0.0099192,           0.0059633,             0.00439,             0.00439,             0.00439
                  19,            0.032766,            0.019876,            0.008773,             0.60792,             0.67213,             0.69385,              0.3471,            0.027937,            0.010676,           0.0073627,             0.00406,             0.00406,             0.00406
                  20,            0.031377,            0.019496,           0.0085231,             0.57648,             0.57348,             0.60138,             0.30254,            0.024884,            0.010784,           0.0086799,             0.00373,             0.00373,             0.00373
                  21,            0.031069,            0.019182,           0.0074481,             0.56093,              0.7773,             0.72258,              0.3433,            0.027298,            0.010646,           0.0078172,              0.0034,              0.0034,              0.0034
                  22,             0.03201,             0.01912,           0.0075091,             0.60342,             0.67251,             0.60524,             0.25038,            0.030198,             0.01123,            0.012088,             0.00307,             0.00307,             0.00307
                  23,            0.030737,            0.018933,             0.00926,             0.59091,             0.66146,             0.58961,             0.31741,             0.02647,            0.010699,           0.0070875,             0.00274,             0.00274,             0.00274
                  24,            0.029414,            0.018731,           0.0079137,             0.73072,             0.72917,             0.72592,             0.35802,            0.026658,            0.010945,           0.0059032,             0.00241,             0.00241,             0.00241
                  25,            0.028532,            0.017919,           0.0071133,             0.69215,             0.61541,             0.65226,             0.30389,            0.025165,            0.011138,           0.0059358,             0.00208,             0.00208,             0.00208
                  26,            0.028276,             0.01766,           0.0068159,             0.59641,             0.71468,             0.70221,             0.31415,            0.026014,            0.011341,           0.0082745,             0.00175,             0.00175,             0.00175
                  27,            0.027985,             0.01718,           0.0062756,             0.78735,             0.71402,             0.73824,             0.32666,            0.026208,             0.01069,           0.0073421,             0.00142,             0.00142,             0.00142
                  28,            0.025799,            0.016891,           0.0059321,             0.69998,             0.66288,             0.66027,             0.29461,            0.027106,            0.011472,           0.0071797,             0.00109,             0.00109,             0.00109
                  29,            0.026297,            0.016787,           0.0059706,             0.72346,              0.7348,             0.71519,             0.31512,            0.026287,            0.011803,           0.0077097,             0.00076,             0.00076,             0.00076
